,Attrition,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,county_name,state,cty,household_income_at_35,high-school_graduation_rate,percentage_married_by_35,incarceration_rate,women_teenage_birthrate,poverty_rate,employment_rates_at_35,single_parent_frac
0,Yes,1,41,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
1,No,2,49,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
2,Yes,4,37,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
3,No,5,33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
4,No,7,27,Travel_Rarely,591,Research & Development,2,1,Medical,1,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
5,No,8,32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
6,No,10,59,Travel_Rarely,1324,Research & Development,3,3,Medical,1,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
7,No,11,30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
8,No,12,38,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
9,No,13,36,Travel_Rarely,1299,Research & Development,27,3,Medical,1,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
